;Entity;Code;Week;area burnt by wildfires in 2024; burnt by wildfires in 2023; burnt by wildfires in 2022; burnt by wildfires in 2021; burnt by wildfires in 2020;area burnt by wildfires in 2019;a burnt by wildfires in 2018;area burnt by wildfires in 2017; area burnt by wildfires in 2016; area burnt by wildfires in 2015;area burnt by wildfires in 2014; area burnt by wildfires in 2013; area burnt by wildfires in 2012;Similarity
3545;Brazil;BRA;15;0;691330;810745;700341;1224092;1979000;648512;499331;2196229;1022098;763020;783763;623512;0,999894505
3796;Brazil;BRA;16;0;743786;918227;744278;1297130;2031759;674782;523929;2302992;1045123;785101;827213;670668;0,998835393
4047;Brazil;BRA;17;0;817366;1081917;795602;1416103;2081986;717484;559786;2382940;1082181;831244;875656;739960;0,997378751
4298;Brazil;BRA;18;0;884632;1232611;881077;1511876;2124492;784261;639981;2485897;1108335;903833;948777;889301;0,995833443
10216;Peru;PER;41;0;582675;1007730;729320;1055467;1075909;729935;567708;971439;824295;581916;740720;1132816;0,995690249
9965;Peru;PER;40;0;578654;930286;684565;931639;1048109;716208;535254;960390;779000;562916;733316;1125592;0,995687249
10467;Peru;PER;42;0;588139;1022821;739835;1072561;1082279;769145;579975;998780;847061;612133;758031;1151653;0,995645395
9714;Peru;PER;39;0;571122;897807;665540;880904;1032618;697982;467403;935746;743159;535294;718644;1055601;0,995573178
10718;Peru;PER;43;0;595746;1053410;775628;1096932;1094593;779724;586534;1019019;862658;617883;764227;1160513;0,995536691
10969;Peru;PER;44;0;598891;1103897;789109;1140819;1104995;791361;591079;1044663;880075;625773;766802;1173295;0,995455721
11722;Peru;PER;47;0;616073;1206282;808624;1234806;1115042;791774;616487;1260227;894305;644470;791317;1182353;0,995422042
11220;Peru;PER;45;0;603574;1158384;799585;1183633;1106522;791774;597203;1054390;883054;628464;782780;1178466;0,995355628
11471;Peru;PER;46;0;609968;1192556;805519;1201230;1112796;791774;606730;1152655;886331;630383;787418;1180001;0,995354271
